# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-12-20 16:51:30 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12213100 NOOKSACK RIVER AT FERNDALE, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12213100
#            TS   parameter     statistic     Description
#        149551       00060     00003     Discharge, cubic feet per second (Mean)
#        149552       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=12213100&ts_ids=149551]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	149551_00060_00003	149551_00060_00003_cd	149552_00065_00003	149552_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	12213100	2017-10-01	1140	A	4.27	A
USGS	12213100	2017-10-02	1020	A	4.09	A
USGS	12213100	2017-10-03	866	A	3.85	A
USGS	12213100	2017-10-04	786	A	3.73	A
USGS	12213100	2017-10-05	744	A	3.66	A
USGS	12213100	2017-10-06	723	A	3.62	A
USGS	12213100	2017-10-07	916	A	3.92	A
USGS	12213100	2017-10-08	1240	A	4.40	A
USGS	12213100	2017-10-09	1040	A	4.18	A
USGS	12213100	2017-10-10	744	A	3.89	A
USGS	12213100	2017-10-11	672	A	3.83	A
USGS	12213100	2017-10-12	634	A	3.78	A
USGS	12213100	2017-10-13	718	A	3.88	A
USGS	12213100	2017-10-14	786	A	3.96	A
USGS	12213100	2017-10-15	672	A	3.83	A
USGS	12213100	2017-10-16	716	A	3.88	A
USGS	12213100	2017-10-17	1720	A	4.96	A
USGS	12213100	2017-10-18	2870	A	6.24	A
USGS	12213100	2017-10-19	10700	A	11.84	A
USGS	12213100	2017-10-20	7570	A	9.99	A
USGS	12213100	2017-10-21	4690	A	7.85	A
USGS	12213100	2017-10-22	10100	A	11.51	A
USGS	12213100	2017-10-23	6030	A	8.87	A
USGS	12213100	2017-10-24	3740	A	7.04	A
USGS	12213100	2017-10-25	3210	A	6.55	A
USGS	12213100	2017-10-26	4000	A	7.26	A
USGS	12213100	2017-10-27	2760	A	6.12	A
USGS	12213100	2017-10-28	2440	A	5.78	A
USGS	12213100	2017-10-29	2160	A	5.48	A
USGS	12213100	2017-10-30	1880	A	5.17	A
USGS	12213100	2017-10-31	1680	A	4.93	A
USGS	12213100	2017-11-01	1570	A	4.79	A
USGS	12213100	2017-11-02	1590	A	4.82	A
USGS	12213100	2017-11-03	2010	A	5.31	A
USGS	12213100	2017-11-04	1710	A	4.97	A
USGS	12213100	2017-11-05	1540	A	4.75	A
USGS	12213100	2017-11-06	1430	A	4.62	A
USGS	12213100	2017-11-07	1340	A	4.50	A
USGS	12213100	2017-11-08	1300	A	4.44	A
USGS	12213100	2017-11-09	1370	A	4.54	A
USGS	12213100	2017-11-10	1550	A	4.77	A
USGS	12213100	2017-11-11	1550	A	4.77	A
USGS	12213100	2017-11-12	1860	A	5.12	A
USGS	12213100	2017-11-13	5910	A	8.79	A
USGS	12213100	2017-11-14	5820	A	8.74	A
USGS	12213100	2017-11-15	4850	A	7.99	A
USGS	12213100	2017-11-16	4220	A	7.46	A
USGS	12213100	2017-11-17	3330	A	6.67	A
USGS	12213100	2017-11-18	2860	A	6.22	A
USGS	12213100	2017-11-19	2540	A	5.89	A
USGS	12213100	2017-11-20	3890	A	7.13	A
USGS	12213100	2017-11-21	4910	A	8.03	A
USGS	12213100	2017-11-22	15000	A	14.41	A
USGS	12213100	2017-11-23	18900	A	16.49	A
USGS	12213100	2017-11-24	22100	A	17.68	A
USGS	12213100	2017-11-25	10800	A	12.02	A
USGS	12213100	2017-11-26	9430	A	11.17	A
USGS	12213100	2017-11-27	11100	A	12.20	A
USGS	12213100	2017-11-28	7170	A	9.72	A
USGS	12213100	2017-11-29	6090	A	8.95	A
USGS	12213100	2017-11-30	5380	A	8.41	A
USGS	12213100	2017-12-01	5720	A	8.67	A
USGS	12213100	2017-12-02	6380	A	9.16	A
USGS	12213100	2017-12-03	5550	A	8.54	A
USGS	12213100	2017-12-04	4480	A	7.68	A
USGS	12213100	2017-12-05	3790	A	7.09	A
USGS	12213100	2017-12-06	3410	A	6.74	A
USGS	12213100	2017-12-07	3200	A	6.54	A
USGS	12213100	2017-12-08	3040	A	6.40	A
USGS	12213100	2017-12-09	2910	A	6.27	A
USGS	12213100	2017-12-10	2820	A	6.17	A
USGS	12213100	2017-12-11	2780	A	6.13	A
USGS	12213100	2017-12-12	2710	A	6.07	A
USGS	12213100	2017-12-13	2580	A	5.93	A
USGS	12213100	2017-12-14	2440	A	5.79	A
USGS	12213100	2017-12-15	2370	A	5.71	A
USGS	12213100	2017-12-16	2420	A	5.77	A
USGS	12213100	2017-12-17	2500	A	5.85	A
USGS	12213100	2017-12-18	7980	A	10.15	A
USGS	12213100	2017-12-19	7630	A	10.01	A
USGS	12213100	2017-12-20	8970	A	10.88	A
USGS	12213100	2017-12-21	5590	A	8.56	A
USGS	12213100	2017-12-22	4330	A	7.56	A
USGS	12213100	2017-12-23	3570	A	6.89	A
USGS	12213100	2017-12-24	3060	A	6.41	A
USGS	12213100	2017-12-25	2780	A	6.14	A
USGS	12213100	2017-12-26	2550	A	5.90	A
USGS	12213100	2017-12-27	2380	A	5.72	A
USGS	12213100	2017-12-28	2430	A	5.78	A
USGS	12213100	2017-12-29	3770	A	7.07	A
USGS	12213100	2017-12-30	7210	A	9.72	A
USGS	12213100	2017-12-31	5380	A	8.40	A
USGS	12213100	2018-01-01	3970	A	7.24	A
USGS	12213100	2018-01-02	3310	A	6.66	A
USGS	12213100	2018-01-03	3040	A	6.40	A
USGS	12213100	2018-01-04	2900	A	6.26	A
USGS	12213100	2018-01-05	3460	A	6.76	A
USGS	12213100	2018-01-06	6900	A	9.53	A
USGS	12213100	2018-01-07	5130	A	8.21	A
USGS	12213100	2018-01-08	4830	A	7.97	A
USGS	12213100	2018-01-09	5180	A	8.25	A
USGS	12213100	2018-01-10	4990	A	8.10	A
USGS	12213100	2018-01-11	4320	A	7.55	A
USGS	12213100	2018-01-12	6470	A	9.22	A
USGS	12213100	2018-01-13	8720	A	10.75	A
USGS	12213100	2018-01-14	6780	A	9.44	A
USGS	12213100	2018-01-15	5720	A	8.67	A
USGS	12213100	2018-01-16	5280	A	8.33	A
USGS	12213100	2018-01-17	4870	A	8.01	A
USGS	12213100	2018-01-18	5990	A	8.86	A
USGS	12213100	2018-01-19	5200	A	8.27	A
USGS	12213100	2018-01-20	4500	A	7.70	A
USGS	12213100	2018-01-21	4260	A	7.50	A
USGS	12213100	2018-01-22	4490	A	7.69	A
USGS	12213100	2018-01-23	4090	A	7.35	A
USGS	12213100	2018-01-24	5300	A	8.33	A
USGS	12213100	2018-01-25	5220	A	8.29	A
USGS	12213100	2018-01-26	4500	A	7.70	A
USGS	12213100	2018-01-27	4160	A	7.41	A
USGS	12213100	2018-01-28	4490	A	7.69	A
USGS	12213100	2018-01-29	7480	A	9.84	A
USGS	12213100	2018-01-30	15400	A	14.69	A
USGS	12213100	2018-01-31	9000	A	10.93	A
USGS	12213100	2018-02-01	6960	A	9.57	A
USGS	12213100	2018-02-02	6690	A	9.38	A
USGS	12213100	2018-02-03	11000	A	12.17	A
USGS	12213100	2018-02-04	15400	A	14.66	A
USGS	12213100	2018-02-05	18700	A	16.45	A
