# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-03-12 13:00:47 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12213100 NOOKSACK RIVER AT FERNDALE, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12213100
#            TS   parameter     statistic     Description
#        149551       00060     00003     Discharge, cubic feet per second (Mean)
#        149552       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	149551_00060_00003	149551_00060_00003_cd	149552_00065_00003	149552_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	12213100	2018-10-01	1830	A	5.06	A
USGS	12213100	2018-10-02	4840	A	7.91	A
USGS	12213100	2018-10-03	3840	A	7.17	A
USGS	12213100	2018-10-04	1950	A	5.56	A
USGS	12213100	2018-10-05	1420	A	4.95	A
USGS	12213100	2018-10-06	1170	A	4.62	A
USGS	12213100	2018-10-07	1020	A	4.40	A
USGS	12213100	2018-10-08	949	A	4.30	A
USGS	12213100	2018-10-09	1100	A	4.51	A
USGS	12213100	2018-10-10	1170	A	4.61	A
USGS	12213100	2018-10-11	946	A	4.29	A
USGS	12213100	2018-10-12	846	A	4.13	A
USGS	12213100	2018-10-13	788	A	4.04	A
USGS	12213100	2018-10-14	723	A	3.93	A
USGS	12213100	2018-10-15	675	A	3.85	A
USGS	12213100	2018-10-16	649	A	3.81	A
USGS	12213100	2018-10-17	624	A	3.76	A
USGS	12213100	2018-10-18	593	A	3.71	A
USGS	12213100	2018-10-19	562	A	3.65	A
USGS	12213100	2018-10-20	538	A	3.61	A
USGS	12213100	2018-10-21	522	A	3.57	A
USGS	12213100	2018-10-22	511	A	3.55	A
USGS	12213100	2018-10-23	493	A	3.52	A
USGS	12213100	2018-10-24	522	A	3.57	A
USGS	12213100	2018-10-25	626	A	3.77	A
USGS	12213100	2018-10-26	1500	A	4.86	A
USGS	12213100	2018-10-27	3070	A	6.70	A
USGS	12213100	2018-10-28	5990	A	8.76	A
USGS	12213100	2018-10-29	5960	A	9.06	A
USGS	12213100	2018-10-30	3490	A	7.16	A
USGS	12213100	2018-10-31	3070	A	6.76	A
USGS	12213100	2018-11-01	7290	A	9.94	A
USGS	12213100	2018-11-02	18100	A	16.13	A
USGS	12213100	2018-11-03	11300	A	12.43	A
USGS	12213100	2018-11-04	14200	A	14.02	A
USGS	12213100	2018-11-05	11000	A	12.28	A
USGS	12213100	2018-11-06	8290	A	10.68	A
USGS	12213100	2018-11-07	5810	A	9.00	A
USGS	12213100	2018-11-08	4320	A	7.86	A
USGS	12213100	2018-11-09	3550	A	7.21	A
USGS	12213100	2018-11-10	3180	A	6.88	A
USGS	12213100	2018-11-11	2700	A	6.40	A
USGS	12213100	2018-11-12	2350	A	6.05	A
USGS	12213100	2018-11-13	2130	A	5.80	A
USGS	12213100	2018-11-14	2730	A	6.41	A
USGS	12213100	2018-11-15	3560	A	7.22	A
USGS	12213100	2018-11-16	3200	A	6.90	A
USGS	12213100	2018-11-17	2810	A	6.52	A
USGS	12213100	2018-11-18	2350	A	6.04	A
USGS	12213100	2018-11-19	2090	A	5.76	A
USGS	12213100	2018-11-20	1910	A	5.55	A
USGS	12213100	2018-11-21	1800	A	5.42	A
USGS	12213100	2018-11-22	3030	A	6.64	A
USGS	12213100	2018-11-23	4190	A	7.76	A
USGS	12213100	2018-11-24	3710	A	7.36	A
USGS	12213100	2018-11-25	2940	A	6.64	A
USGS	12213100	2018-11-26	3770	A	7.17	A
USGS	12213100	2018-11-27	18200	A	16.14	A
USGS	12213100	2018-11-28	18500	A	16.24	A
USGS	12213100	2018-11-29	10600	A	11.95	A
USGS	12213100	2018-11-30	7260	A	9.85	A
USGS	12213100	2018-12-01	5820	A	8.83	A
USGS	12213100	2018-12-02	4710	A	7.96	A
USGS	12213100	2018-12-03	3840	A	7.23	A
USGS	12213100	2018-12-04	3300	A	6.74	A
USGS	12213100	2018-12-05	2930	A	6.39	A
USGS	12213100	2018-12-06	2660	A	6.12	A
USGS	12213100	2018-12-07	2440	A	5.89	A
USGS	12213100	2018-12-08	2280	A	5.72	A
USGS	12213100	2018-12-09	2210	A	5.64	A
USGS	12213100	2018-12-10	2920	A	6.38	A
USGS	12213100	2018-12-11	3340	A	6.76	A
USGS	12213100	2018-12-12	6290	A	9.15	A
USGS	12213100	2018-12-13	5820	A	8.78	A
USGS	12213100	2018-12-14	7130	A	9.75	A
USGS	12213100	2018-12-15	5140	A	8.30	A
USGS	12213100	2018-12-16	4390	A	7.70	A
USGS	12213100	2018-12-17	6970	A	9.63	A
USGS	12213100	2018-12-18	7120	A	9.75	A
USGS	12213100	2018-12-19	7410	A	9.95	A
USGS	12213100	2018-12-20	6440	A	9.26	A
USGS	12213100	2018-12-21	7400	A	9.93	A
USGS	12213100	2018-12-22	5090	A	8.26	A
USGS	12213100	2018-12-23	4550	A	7.83	A
USGS	12213100	2018-12-24	4350	A	7.67	A
USGS	12213100	2018-12-25	3700	A	7.11	A
